Utenti,1,admin@admin,admin,admin,admin,void,2022-05-06,admin,3
Utenti,2,metallica@gmail.com,James,Hetfield,Metallica,I Metallica sono un gruppo musicale heavy metal statunitense; formatosi a Los Angeles nel 1981.,2022-05-06,Metallica,2
Utenti,3,queen@gmail.com,Freddie,Mercury,Queen,I Queen sono un gruppo musicale rock britannico; formatosi a Londra nel 1970 dall'incontro del cantante e pianista Freddie Mercury con il chitarrista Brian May e con il batterista Roger Taylor.,2022-05-06,Queen,2
Utenti,4,gunsnroses@gmail.com,Guns'n'Roses,Guns'n'Roses,Guns'n'Roses,void,2022-05-06,Guns,2
Utenti,5,ligabue@gmail.com,Luciano,Ligabue,Ligabue,void,2022-05-06,Ligabue,2
Utenti,6,vasco@gmail.com,Vasco,Rossi,Vasco,void,2022-05-06,Vasco,2
Utenti,7,rammstein@gmail.com,Rammstein,Rammstein,Rammstein,void,2022-05-06,Rammstein,2
Utenti,8,sabaton@gmail.com,Sabaton,Sabaton,Sabaton,void,2022-05-06,Sabaton,2
Utenti,9,linkinpark@gmail.com,Linkin Park,Linkin Park,Linkin Park,void,2022-05-06,LinkinPark,2
Utenti,10,pausini@gmail.com,Laura,Pausini,Laura Pausini,void,2022-05-06,LauraPausini,2
Utenti,11,mahmood@gmail.com,Alessandro,Mahmoud,Mahmood,void,2022-05-06,AlessandroMah,2
Utenti,12,bocelli@gmail.com,Andrea,Bocelli,Andrea Bocelli,void,2022-05-06,AndreaBocelli,2
Utenti,13,elisa@gmail.com,Elisa,Toffoli,Elisa,void,2022-05-06,Elisa,2
Utenti,14,rickymartin@gmail.com,Enrique Martin,Morales,Ricky Martin,void,2022-05-06,RickyMartin,2
Utenti,15,massimiliano@gmail.com,Massimiliano,Zuin,Massimiliano Zuin,void,1996-23-07,Massimiliano,1
Utenti,16,marco@gmail.com,Marco,Quarta,Marco Quarta,void,2022-05-06,Marco,1
Utenti,17,michele@gmail.com,Michele,Lattanzi,Michele Lattanzi,void,2022-05-06,Michele,1
Artisti,2,1981-10-28,,,,,,,
Artisti,3,1968-10-26,,,,,,,
Playlist,1,15,Metallo,Void,47,,,,
Canzoni,1,Hit the Lights,1983-07-25,257,#ff0000,Inglese,2,,
Canzoni,2,The Four Horsemen,1983-07-25,433,#ff0000,Inglese,2,,
Canzoni,3,Motorbreath,1983-07-25,188,#ff0000,Inglese,2,,
Canzoni,4,Jump in the Fire,1983-07-25,281,#ff0000,Inglese,2,,
Canzoni,5,(Anesthesia)-Pulling Teeth,1983-07-25,254,#ff0000,Inglese,2,,
Canzoni,6,Whiplash,1983-07-25,249,#ff0000,Inglese,2,,
Canzoni,7,Phantom Lord,1983-07-25,301,#ff0000,Inglese,2,,
Canzoni,8,No Remorse,1983-07-25,386,#ff0000,Inglese,2,,
Canzoni,9,Seek & Destroy,1983-07-25,415,#ff0000,Inglese,2,,
Canzoni,10,Metal Militia,1983-07-25,311,#ff0000,Inglese,2,,
Canzoni,11,Fight Fire with Fire,1984-07-27,284,#ff4000,Inglese,2,,
Canzoni,12,Ride the Lightning,1984-07-27,397,#ff4000,Inglese,2,,
Canzoni,13,For Whom the Bell Tolls,1984-07-27,311,#ff4000,Inglese,2,,
Canzoni,14,Fade to Black,1984-07-27,415,#ff4000,Inglese,2,,
Canzoni,15,Trapped Under Ice,1984-07-27,244,#ff4000,Inglese,2,,
Canzoni,16,Escape,1984-07-27,264,#ff4000,Inglese,2,,
Canzoni,17,Creeping Death,1984-07-27,396,#ff4000,Inglese,2,,
